Título;Subtítulo;Autor;Editor;Encuadernación;Fecha de compra;Precio de compra;Editorial;Edición;Año del copyright;Año de publicación;ISBN#;LCCN#;Páginas;Traductor;Idioma;Género;Palabras clave;Serie;Número en la serie;Condición;Firmado;Leído;Regalo;Prestado;Clasificación;Carátula frontal;Sinopsis;Comentarios;ID;Fecha de creación;Fecha de modificación;País Autor;Estante
Un Novelista en el Museo Del Prado;;Láinez, Manuel Mujica;;Tapa blanda;;;Debolsillo;1;1984;2010;978-987-566584-2;;160;;Castellano;Narrativa;Argentina;;;;;true;;;;96747b238be2c394f76ee0363f009afd.jpeg;La nostalgia del pasado, la sugestiva evocación de los territorios y la recreación del devenir de las conciencias emergen como ejes fundacionales de la narrativa del maestro argentino. Rescatar el pasado es su misión y en este relato, además, lo recrea con auténtica plasticidad.Al anochecer, en la luz de color de oro o de ceniza, las figuras de la pinacoteca cobran vida y salen de sus marcos: les pertenecen, hasta el rayar del alba, la vasta rotonda y las salas solemnes del Museo del Prado. Mújica Láinez nos narra aquí la vida imaginaria, secreta, y a la vez muy real, de los seres de Velázquez o del Greco, de Durero o de Goya, del Bosco o de Veronés, mientras pululan con sus destellantes trajes antiguos y con sus cálidos desnudos en la tiniebla maravillada del museo nocturno. El don supremo de artífice verbal de Mújica Láinez y su inventiva refinadísima e inagotable, tanto en lo irónico y lo sensual como en lo ornamentado, edifican otra galería de personajes, prodigiosamente vivos, en la pasarela de lienzos de uno de los espacios visuales más suntuosos, nobles y sugestivos de Europa: un universo narrativo autónomo, deslumbrante y completo.Una joya literaria en total armonía con las joyas pictóricas que pueblan El Prado hasta que la luz penetra por sus ventanucos. Es entonces cuando la magia sólo permanece en las páginas deslumbrantes de este maravilloso relato.;;26;2023-10-12;2023-10-12;Argentina;
El Cuento de La Criada;;Atwood, Margaret;;Tapa blanda;;;Penguin Random House Grupo Editorial España;;;2020;978-987-800117-3;;416;Blanco, Elsa Mateo;Castellano;Narrativa;Canadiense;;;;;true;true;;;42299d04924ff0939388c51dbef10c96.jpeg;<p><b>Las criadas sólo vestimos de rojo: el color de la sangre es lo que nos define.</b></p> <p>Defred es Criada en Gilead, una república donde a las mujeres se les prohíbe trabajar, leer y entablar amistades. Sirve en el hogar del Comandante y su Esposa, y en el nuevo orden social tiene un único cometido: una vez al mes, tumbarse boca arriba y rezar para que el Comandante la deje embarazada, porque, en una época en que apenas nacen niños, Defred y las demás Criadas valen en la medida en que son capaces de engendrar. Pero Defred recuerda los años previos a la instauración de Gilead, cuando ella era una mujer independiente con un empleo, una familia y un nombre propio. Ahora, sus recuerdos y su voluntad de supervivencia se consideran actos de rebelión.</p> <p>Provocativo, deslumbrante, profético, <i>El cuento de la criada</i> se ha convertido en un fenómeno global. Con esta impresionante adaptación gráfica del clásico contemporáneo de Margaret Atwood, llevada a cabo con suma belleza por la artista Renée Nault, el aterrador universo de Gilead cobra vida como nunca hasta ahora.</p>;regalo de Anahí 2023;27;2023-10-12;2024-04-22;Canadá;
Crimen y Castigo;;Dostoievski, Fyodor;;Tapa dura;;;W.M. Jackson Inc.;3;1946;1946;;;443;Arias, Rodolfo;Castellano;Narrativa;"Psicológico; Policial";;;;;true;true;;;a51a1f959d55d53c2161f2f9150d4332.jpeg;El escritor ruso Fiodor (o Fédor) Dostoievski (1821-1881), es uno de los mayores novelistas de la historia y aportó gran cantidad de bases para las novelas modernas.Crimen y castigo es una de las novelas psicológicas clásicas de Dostoievski y una de las grandes novelas de la literatura universal.Su argumento gira en torno a un joven estudiante que no encuentra otra solución para aliviar su pobreza que matar y robar a una vieja usurera. La novela está estructurada sobre un tema ético: el fin no justifica los medios.Se asiste así a un complicado proceso mental durante el cual el estudiante elabora meticulosamente su crimen, sin pensar en las ventajas directas y materiales que le pueda reportar, es casi un crimen altruista.La obra una abarca multiplicidad de sentimientos, emociones, ideologías y otros elementos que integran la psicológica de una persona.;;28;2023-10-12;2023-10-16;Rusia;
Persuasión de Los Días;;Girondo, Oliverio;;Tapa blanda;1997-01-01;;Editorial Losada;3;1968;1996;950-030462-7;;185;;Castellano;Poseía;;;;;;true;;;;12b294887a5893e5897babeaf5c10eb5.jpeg;En Persuasión de los días, Girondo cambia el tono de su poesía. A diferencia de sus anteriores obras, Veinte poemas para ser leídos en el tranvía, Calcomanías y Espantapájaros, abandona el humor y la visión alegre de la vida para penetrar en la decadencia social y espiritual. Algunos poemas, como “Amargor” o “Hay que compadecerlos” están escritos con cierta amargura. En unos pocos, muestra su típico humor, pero atenuado. Su poesía, antes dirigida hacia el afuera, hacia lo que lo rodea, se vuelca hacia su propio yo y adquiere mayor relevancia el tema del vuelo,2​ presente en toda la obra de Girondo.;;29;2023-10-12;2023-10-16;Argentina;
Soledad de Los Números Primos, La;;Giordano, Paolo;;Tapa blanda;2020-01-01;;PRH Grupo Editorial;16;2011;2018;978-84-98-38345-4;;281;Arjona, Juan Manuel Salmerón;Castellano;Narrativa;"Vida en Familia; Ficción";;;Nuevo;;true;;;;8b4d1a2ea4041f1a674185e429418d2a.jpeg;"<b>La novela que convirtió a Paolo Giordano en el fenómeno editorial más relevante de los últimos tiempos en Italia.</b><br/><br/>Entre los números primos hay algunos aún más especiales. Son aquellos que los matemáticos llaman primos gemelos, pues, aunque permanecen próximos, entre ellos se interpone siempre un número par.<br/>Esta verdad matemática es la hermosa metáfora que el autor ha escogido para narrar la historia de Alice y Mattia, dos personas cuyas vidas han quedado condicionadas por las consecuencias de sendos episodios ocurridos en su niñez. Pese a la fuerte atracción que los une, la vida erigirá entre ellos barreras invisibles que pondrán a prueba la solidez de su relación.<br/><br/>La sutileza de los rasgos psicológicos de los personajes, así como la hondura y complejidad de una historia que suscita en los lectores las reacciones más variadas, resaltan la admirable madurez literaria de este joven autor a la hora de asomarse, nada más y nada menos, a la esencia de la soledad.<br/><br/><b>La crítica ha dicho...</b><br/><br/>«Un libro perfecto, construido con la sabiduría de un narrador experto [...] Todo el mundo reconocerá algo de sí mismo en el libro de Giordano, pues el verdadero protagonista de esta maravillosa historia es la soledad.» -<i>Il Giornale<br/></i><br/>«Giordano narra con mano firme y gran madurez estilística una materia candente, con densas ramificaciones emocionales.» -<i>Corriere della Sera<br/></i><br/>«Nada escapa a la atención de Giordano, que observa a sus personajes con la delicadeza feroz de quien sabe que la vida se compone de fragmentos, todos preciosos.» -<i>La Repubblica<br/><br/></i>ENGLISH DESCRIPTION<br/><br/><b>""Mesmerizing...an exquisite rendering of what one might call feelings at the subatomic level."" -<i>The New York Times</i></b><br/><br/><b><b>From the<b> </b>author of <i>Heaven and Earth</i>, a</b> sensational novel about whether a ""prime number"" can ever truly connect with someone else </b><br/><br/>A prime number is a lonely thing. It can only be divided by itself or by one, and it never truly fits with another. Alice and Mattia are both ""primes""-misfits haunted by early tragedies. When the two meet as teenagers, they recognize in each other a kindred, damaged spirit. Years later, a chance encounter reunites them and forces a lifetime of concealed emotion to the surface. But can two prime numbers ever find a way to be together? A brilliantly conceived and elegantly written debut novel, <i>The Solitude of Prime Numbers</i> is a stunning meditation on loneliness, love, and what it means to be human.";El autor es Físico Teórico;30;2023-10-12;2023-10-15;Italia;
El Jugador;;Dostoievski, Fyodor;;Tapa blanda;;;Alianza Editorial;;1980;1997;84-20-61777-6;;224;Morillas, Juan López;Castellano;Narrativa;"Adicciones; Ficción";;;Usado;;true;;;;a3cb7f2bc2ea25d8948560c664fcbc15.jpeg;"""El jugador (1866), una de las novelas más célebres de Fiódor Dostoyevski (1821-1881), está basada en vivencias personales del propio autor, quien en su madurez se sintió dominado por la pasión del juego y sufrió un profundo desengaño amoroso. Ambientada en la ciudad-balneario de Roulettenburg (inspirada en la histórica Wiesbaden), en la novela asistimos a las relaciones de una curiosa galería de personajes desarraigados y trashumantes que tratan de satisfacer sus deseos de riqueza a través de las malas artes, ya sea apelando a la seducción erótica, ya al juego, al engaño o la usura. Novela apasionante de una intensidad extraordinaria, el protagonista de El jugador es Alekséi Ivánovich, turbadora figura que cae víctima de su cobardía al no aceptar que merece ser amado por la mujer a la que adora y que termina por depositar en el juego sus esperanzas de ascenso social y condena su vida a un estado de decadencia moral"" -- Page [4] of cover.";Título original: Igrok;31;2023-10-12;2023-10-12;Rusia;
El Señor Projarchin;;Dostoievski, Fyodor;;Tapa blanda;2004-01-01;;Quadrata;1;2004;2004;987-113936-5;;128;Levit, Fanny D.;Castellano;Narrativa;"Ficción; Psicológico";;;;;true;;;;ddfb23e2a3c20aa8f4aae049193dfafc.jpeg;<b> <i>El señor Projarchin</i>, inspirada en hechos reales, cuenta la historia de Semión Ivánovich Projarchin, un personaje enigmático que vive una vida extremadamente pobre</b>, comiendo sobras y durmiendo en una pensión de mala muerte. Su casera y los otros inquilinos sienten pena por él, pero finalmente descubrirán que ese huésped escondía un secreto que no revelaría jamás.;;32;2023-10-12;2023-10-16;Rusia;
Poesías Completas;;Poe, Edgar Allan;;Tapa blanda;;;Claridad;2;2004;2005;950-620156-0;;158;Gambolini, Ana G. Burgert y Gerardo;Castellano;Poesía;Poesía;;;Nuevo;;true;;;;66bcc09fbf4697403a336815e4cc5882.jpeg;Conocido por sus cuentos, novelas y ensayos filosoficos, Edgar Allan Poe es fundamentalmente un poeta. Para Poe, un poema es el producto de la combinacion de una intuicion pura y de la eleccion consciente, minuciosamente calculada, de los elementos que lo componen.;;33;2023-10-12;2024-02-10;Estados Unidos;
Humillados y Ofendidos;;Dostoievski, Fyodor;;Tapa blanda;;;Terramar;1;2007;2007;978-987-118790-4;;448;;Castellano;Narrativa;"Novela; Ficción";;;Nuevo;;true;;;;017e91bd322043b855ae9b588f1a60f7.jpeg;Esta es la primera novela larga del gran escritor ruso despues de su retorno de Siberia, donde estuvo deportado varios anos. El heroe de la obra, un personaje inquietante y complejo, Vanja, cuenta su propia historia. El nucleo argumental se teje en torno a la pugna de Vanja con el hijo del principe Valkorskij por el amor de una misma mujer. Y tambien a partir del proceso de que ha sido victima el administrador de dicho principe. Las reacciones vitales y morales de los personajes de Humillados y ofendidos responden a la gran preocupacion de hondura psicologica y de plasmacion de caracteres que son consubstanciales a Dostoyewski.;;34;2023-10-12;2023-10-16;Rusia;
Mas Platón y Menos Prozac;;Marinoff, Lou;;Tapa blanda;;;B (Ediciones B);1;1999;2004;84-40-69684-1;;400;Folch, Borja;Castellano;Narrativa;"Filosofía; Ensayo";;;;;;true;;;a5c28da4127f08eab9c2e9b6c9530606.jpeg;Más Platón y menos Prozac se inspira en los más importantes filósofos de la historia para enseñarnos a afrontar los principales y más habituales aspectos de la vida, el amor, la ética, prepararse para morir o simplemente enfrentarse a un cambio de trabajo.;;35;2023-10-13;2023-10-16;Estados Unidos;
El Lobo Estepario;;Hesse, Hermann;;Tapa blanda;1995-01-01;;Alianza Editorial;2;1955;1994;950-400041-X;;235;Manzares, Manuel;Castellano;Narrativa;"Acción; Ficción";;;;;true;true;;4;e6cde896564afe3912f7b1693f54e4c2.jpeg;;Encrucijada de todas las obsesiones e intuiciones de Hermann Hesse (1877-1962) y exponente de su singular talento para el relato, El lobo estepario se inscribe dentro del empeño, patente a lo largo de toda su obra, por iluminar la zona oscura de la condición humana a fin de poner al descubierto su carga trágica y su incierto destino.<br/><br/>Ser solitario e incomunicado, extraño y extrañado, Harry Haller, protagonista de esta emblemática novela, ha acabado convirtiéndose en un arquetipo literario en el que se reconocen quienes padecen los efectos deshumanizadores de una sociedad que no conoce la solidaridad y propicia el aislamiento.;36;2023-10-13;2023-10-13;Alemania;
Madame Bovary;;Flaubert, Gustave;;Tapa blanda;;;Terramar;1;2008;2008;978-987-617066-6;;272;Paredes, Juan;Castellano;Narrativa;Psicológico;;;Nuevo;;;;;;09ce0228c1501b7f41300ed053a321f6.jpeg;La opinión de Baudelaire sobre Madame Bovary es, sin duda, la que sigue manteniéndose hoy. Para él, como para nosotros ahora, Madame Bovary es una obra de arte. El artículo, que publica en la revista L’Artiste en aquel año de 1857, es un modelo de inteligencia crítica: «Una novela, ¡y qué novela! La más imparcial, la más leal». Él es el primero, y durante bastante tiempo el único, en afirmar que la dimensión moral del texto es secundaria, que la obra de arte debe justificarse por sí misma, lejos de cualquier otra consideración. En el Prólogo, al hablar de la heroína, reconoce que tiene «todas las gracias del héroe», «sublime en su especie, en su pequeño mundo, frente a su pequeño horizonte». Se pregunta qué es lo que la absuelve. Y la respuesta: «Emma Bovary persigue un ideal». En la La Orgía Perpetua de Mario Vargas Llosa, porque en esta obra crítica sobre Flaubert y Madame Bovary el lector podrá encontrar todo lo necesario para conocer y apreciar mejor la novela. Podríamos hablar de su actualidad, incluso en el tema, de su modernidad, porque esta búsqueda del ideal, su inconformismo de la vida cotidiana, «esa desazón inaprensible» (Primera Parte, capítulo VII) de Emma no es ajena a nuestra vida actual, con su estrés, sus adicciones, su consumismo o su gasto excesivo de fármacos o de psiquiatras. La civilización occidental creó los libros de caballerías y la novela romántica. ¿Durante cuántos siglos la influencia de los libros de caballerías siguió viva en el alma de tantos Quijotes? Cabría preguntarse ahora: ¿durante cuántos siglos va a permanecer viva la influencia de las novelas románticas en el alma de tantas Emma Bovary? Pero es además, y quizás antes que nada, la belleza del texto la que nos sigue conmoviendo. ¿El lector de hoy podría también hacerla pasar por la prueba del ritmo y de la musicalidad leyendo en voz alta las bellísimas frases de Flaubert aun en su traducción al español? Como dice Vargas Llosa, el lector puede sufrir leyendo esta novela, y añade: «Sí, pero ¡cuánto placer!».;;37;2023-10-13;2023-10-15;Francia;
El Profeta;;Gibran, Kahlil;;Tapa blanda;;;Urano;;1985;1985;84-86-34406-9;;132;Vergara, José Manuel;Castellano;Narrativa;"Espíritu; Cuerpo; Mente; Literatura";;;;;;true;;;6ab7b57cb619af293d2c2bad97f05bce.jpeg;Pocos libros poseen al mismo tiempo una profundidad, una frescura y una poesía comparables a las de El Profeta, de Khalil Gibran. Al Mustafá, el Elegido, el Bienamado, como las aguas tranquilas y en calma, como un espejo luminoso, refleja en sus discursos el Yo divino de los habitantes de Orfalese. Gibran, el poeta, el filósofo, brinda a sus lectores la oportunidad de encontrarse a sí mismos a través de estas palabras sencillas y cargadas de veracidad. El hecho de que El profeta se haya convertido para muchos en libro de cabecera y que sus palabras entrañables alcancen directamente el corazón de sus lectores ha permitido que se hayan editado millones de copias de este libro. ¡Un clásico de la literatura inspiracional!;Escrito originalmente por el autor en árabe y luego por él mismo en inglés<br/>Regalo de María, Malena y Mariana en  1997;38;2023-10-13;2023-10-13;Estados Unidos;
Metamorfosis, La;;Kafka, Franz;;Tapa blanda;1997-01-01;;Alianza;13;1966;1996;84-20-61004-6;;143;;Castellano;Narrativa;"Clásico; Adventura; Ficción";;;;;true;;;4;1f85d208cf7f67945dcb606b1f7b9978.jpeg;"<p>«Al despertar Gregorio Samsa una mañana, tras un sueño intranquilo, se encontró en su cama convertido en un monstruoso insecto.» </p> <p>Tal es el abrupto comienzo, que nos sitúa de raíz bajo unas reglas distintas, de "" La metamorfosis "" , sin duda alguna la obra de Franz Kafka que ha alcanzado mayor celebridad. </p> <p>Escrito en 1912 y publicado en 1916, este relato es considerado una de las obras maestras del siglo xx por sus innegables rasgos precursores y el caudal de ideas e interpretaciones que desde siempre ha suscitado. </p> <p>";;39;2023-10-13;2023-10-13;Alemania;
Los Siete Locos;;Arlt, Roberto;;Tapa blanda;1997-01-01;;Losada;12;1958;1996;950-030036-2;;336;;Castellano;Narrativa;"Clásico; Ficción; Supernatural";;;;;true;;;;dc4ce66bce7a4f760ad82c5382724b76.jpeg;En <i>Los siete locos</i>, Arlt relata la historia de Remo Erdosain, un hombre que se encuentra desesperado ante la falta de dinero y que se lo acusa de estafar a la empresa donde trabaja. No sólo queda expuesto y humillado ante sus superiores, sino que además le dan un corto plazo para reponer el dinero. Pide un préstamo a su amigo Ergueta, pero este se niega a ayudarlo. Lo mismo Barsut, primo de su mujer. Entonces, ante la desesperación, decide acudir al Astrólogo, en cuya casa conoce a Haffner, el Rufián Melancólico, tratante de blancas que le presta finalmente el dinero. Lo que desconoce Erdosain es que en ese instante formará parte de una sociedad secreta con serias intenciones de cambiar el orden social por medio de una sangrienta revolución.;;40;2023-10-13;2023-10-13;Argentina;
El Perseguidor;;Cortázar, Julio;;Tapa blanda;1997-01-01;;Alianza Cien;2;1993;1995;84-20-64610-5;;96;;Castellano;Narrativa;Jazz;;;;;true;;;;28d5a7d6a95e83d45441dacf6d595841.jpeg;"""Johnny estaba en gran forma en esos días, y yo había ido al ensayo nada más que para escucharlo a él y también a Miles Davis. Todos tenían ganas de tocar, estaban contentos, andaban bien vestidos (de esto me acuerdo quizá por contraste, por lo mal vestido y lo sucio que anda ahora Johnny), tocaban con gusto, sin ninguna impaciencia, y el técnico de sonido hacia señales de contento detrás de su ventanilla, como un babuino satisfecho. Y justamente en ese momento, cuando Johnny estaba como perdido en su alegría, de golpe dejó de tocar y soltándole un puñetazo a no sé quién dijo: “Esto lo estoy tocando mañana”. El perseguidor es uno de los mayores logros literarios de Julio Cortázar y un clásico de la literatura del siglo XX. Con un trasfondo existencial magistralmente tratado, la historia describe los últimos días de Johnny Carter, virtuoso saxofonista cuya vida discurre al filo de la lucidez y la autodestrucción. Desde su publicación en 1959, este homenaje de Cortázar al genial Charlie Parker ha conocido el fervor de numerosos lectores, que lo han considerado, como Rayuela, una experiencia iniciática.";;41;2023-10-13;2023-10-16;Argentina;
El Eterno Marido;;Dostoievski, Fyodor;;Tapa blanda;;;Terramar;1;2005;2005;987-118749-1;;232;Baeza, Ricardo;Castellano;Narrativa;"Rusia; Literatura; Ficción";;;;;;;;;2c7cd008b903e4f01c387b577a159da3.jpeg;<p>Considerada una de las obras más logradas de Fiódor Dostoyevski (1821-1881), la novela <i>El eterno marido</i> (1870) gira en torno al conflicto que surge del triángulo marido-esposa-amante. El autor ruso, sin embargo, le da un enfoque singular. En efecto, situando a la mujer por distintos medios como polo nebuloso, aunque no por ello menos atractivo, la obra profundiza en el motivo centrándose en la ambivalente relación de atracción y repulsión que experimentan Pável Pávlovich Trusotski -hombre nacido con la vocación irrefrenable de ser eterna y necesariamente marido, y marido burlado, por más señas- y Velchanínov -un Don Juan neurasténico e irresoluto, quien, por no ser enteramente ajeno al sentimentalismo, se desvía en gran medida del clásico burlador-, y en los efectos tragicómicos que resultan de tal relación.</p><p>Traducción de Juan López-Morillas</p>;;42;2023-10-13;2024-02-10;Rusia;
Cuentos Completos II;(1945-1966);Cortázar, Julio;;Tapa blanda;;;Alfaguara;6;1994;1995;84-20-48139-4;;509;;Castellano;Narrativa;"Historias cortas; Argentina; Ficción";Cuentos completos;2;;;true;true;;5;51629e9af70337c405c07fff78a50c6d.jpeg;<p><b>«En los libros de <i>Cortázar</i> juega el autos, juega el narrador, juegan los personajes y juega el lector, obligado a ello por las endiabladas trampas que lo acechan a la vuelta de la página menos pensada.» </b></p> <p><b><i>Mario Vargas Llosa</i></b></p> <br/> <p>En este libro, los lectores y lectoras encontrarán todas las colecciones de cuentos de <b>Cortázar</b> publicadas entre 1969  y 1982</p>;regalo de María, Malena y Cecilia 1996;43;2023-10-13;2023-10-13;Argentina;
Obras Completas;;Poe, Edgar Allan;;Tapa blanda;;;Claridad;22;1950;1997;950-620060-2;;774;;Castellano;Narrativa;Ficción;;;;;;true;;4;1406a341f790aae1e4f6edb920f5543d.jpeg;;regalo Licursi 1998;44;2023-10-13;2023-10-13;Estados Unidos;
Espantapájaros, Al Alcance de Todos;;Girondo, Oliverio;;Tapa blanda;1997-01-01;;Losada;4;;2022;950-030404-X;;65;;Castellano;Narrativa;Composición;;;;;true;;;;3b45e33bb6a55e9d2a802bd290c3302e.jpeg;Oliverio Girondo publica Espantapájaros en la ciudad de Buenos Aires (año 1932) en un marco de extravagancia y vanguardias literarias. Si bien dicha antología de poesía lleva casi 80 años desde su edición, la solidez y calidad del texto, logra que perdure en el tiempo manteniéndose actual y a la vez, efímera. Así de contradictoria es la obra de Girondo, quien juega con las palabras y el mundo que lo rodea, dándole valor a lo insignificante de la vida y desvalorizando a las “grandes cosas”. Dentro de la temática de Espantapájaros, podemos ver temas recurrentes como: las mujeres, la identidad, la psicología (del estado inconciente al conciente), el sexo y el amor, la contradicción, la ambigüedad, lo ilógico y lo sinsentido, la vida y la muerte. Oliverio Girondo, logra revelarse, en Espantapájaros, frente a hábitos y costumbres socialmente establecidas para la época (y algunas vigentes en la actualidad), de las rutinas diarias y monótonas, de la falta de diversión y de pasión. Como resultado de dicha rebelión, logra que el lector se sorprenda, se avergüence, se intimide, se ria de sus textos. Sus poemas están llenos de locura y surrealismo, con una fuerte carga emocional y sensibilidad por parte del poeta. Burlándose de sus temores y miedos, logra espantar (de ahí su título) aspectos que lo reprimen y limitan. Su imaginación (cable a tierra para todos los temores) busca la libertad en la construcción de imágenes con las palabras y de palabras con imágenes, dándole al lector, alas para volar.;;45;2023-10-13;2023-10-13;Argentina;
Cosas de Pueblo;;Córdoba, Leonardo;;Tapa blanda;;;Güenavista;1;;2013;;;;;;Narrativa;"Pueblo; Historias cortas; Licencia Creative Commons; Rural";;;;;true;;;;33e09b990342ab8b08a6e9ccc76e956e.jpeg;;Impreso en San Marcos Sierra, Códoba, libre de compartir;46;2023-10-13;2024-02-10;Argentina;
Rayuela;;Cortázar, Julio;;Tapa dura;;;Sudamericana;;1963;2023;84-48-70400-2;;557;;Castellano;Narrativa;"Ficción; Literatura";;;;;;true;;;a0915a33e5b4698fa790bd5369f1690c.jpeg;"<p><b>Un verdadero artefacto literario que con poesía, música y originalidad recorre en un mismo viaje París, Buenos Aires y los rincones más inaccesibles de un grupo de personas que, en el afán de encontrarse, se escapan de sí mismas.</b></p> <br/> <p><b>«En pleno contento precario, en plena falsa tregua, tendí la mano y toqué el ovillo París, su materia infinita arrollándose a sí misma; entonces no había desorden, entonces el mundo seguía siendo algo petrificado y establecido, un juego de elementos girando en sus goznes, una madeja de calles y árboles y nombres y meses.»</b></p> <p>En Rayuela (1963), Julio Cortázar supo condensar sus obsesiones estéticas, literarias y vitales a partir de un mosaico diverso, profundo, inagotable que, a su vez, refleja de forma maravillosa lo más esencial de su época. El amor turbulento de Oliveira y La Maga, los amigos del Club de la Serpiente, las impredecibles caminatas por París -la ciudad que promete el cielo pero puede conducir al infierno-, encuentran su contracara en la aventura protagonizada por Oliveira, Talita y Traveler en Buenos Aires.</p> <p></p> <p>Rayuela es un libro único, abierto a múltiples lecturas, lúdico, complejo, lleno de riesgo y humor, de una originalidad sin precedentes y un talento innato para influir en las futuras generaciones.</p>";;47;2023-10-13;2023-10-13;Argentina;
En Las Tierras de Inti;;Payró, Roberto Jorge;;Tapa dura;;;Editorial Universitaria de Buenos Aires;;1960;1968;;;228;;Castellano;Narrativa;Argentina;;;Usado;;;true;;;d9222cd730af966f4176f8e101178870.jpeg;;;48;2023-10-15;2023-10-16;Argentina;
"Lo Mejor de ""La Siesta Inolvidable""";;Halperín, Jorge;;Tapa blanda;;;Aguilar, Altea, Taurus, Alfaguara;1;2005;2005;987-040233-X;;317;;Castellano;Narrativa;Relatos;;;;;true;;;;3accdaf03942aaca072e6812c64b20bb.jpeg;Relatos realizados en el programa de radio;;49;2023-10-15;2023-10-17;Argentina;
Castelo;Diario de un Ironista;"Castelo, Carla; Castelo, Daniela";;Tapa blanda;;;Sudamericana;1;2011;2011;978-950-073457-8;;219;;Castellano;Narrativa;"Biografía; Periodista";;;;;true;;;;002f0b7b5a3f6d6dde42290391135438.jpeg;<p><b>La vida del humorista y periodista contada por sus hijas. Un Castelo íntimo y desconocido, atravesado siempre por las anécdotas desopilantes, la inteligencia y la elegancia.</b></p> <br/> <p>Castelo se definía a sí mismo como un ironista. Por eso sus hijas eligieron este término para contar su historia. Su trabajo fue tan irreverente y novedoso que llegó mucho más lejos de lo que alguna vez imaginó.</p> <p>Fue un transgresor popular. De la mano del humor absurdo y la sátira creó memorables publicaciones, fue pionero de los programas radiales a la medianoche y revolucionó la televisión con ciclos como «Semanario insólito» y «La noticia rebelde». Trabajó con la pasión de un artista que al final del recorrido encuentra cómo decir lo que quiere y que lo entienda la gran mayoría de la gente.</p> <p>Pero Castelo fue también el pibe de la pelota de trapo, el hijo de la portera, el joven de Don Bosco, el enamorado incondicional de Elena a pesar de su infidelidad crónica, el papá de Daniela y Carla. Recién después de los cuarenta su genio se hizo público. El hombre que logró informar y entretener con calidad.</p>;;50;2023-10-15;2023-10-15;Argentina;
Los Lugares Del Otro;"Las Imágenes Culturales de Lo ""ajeno Identitario"" en La Narrativa Argentina E Italiana Del Siglo XX";Nifantani, Marco;;Tapa blanda;;;Editorial de La Universidad Nacional Del Sur;;2008;2008;987-117187-0;;259;;Castellano;Estudios Literarios;"Migración; Ensayo";;;Nuevo;;;;;;4a5b1da3a4af83a51a049c265d2706bc.jpeg;"El autor desarrolla, desde una óptica comparatista, el tema de las ""imágenes culturales"" de la Argentina en Italia y de Italia en la Argentina en las respectivas narrativas del siglo XX y en especial, en las de la segunda mitad de este siglo. En este marco temporal, analiza la dinámica de afirmación y modificación de las ""imágenes culturales"" acerca del inmigrante y sus caracteristicas socio-ideológicas dentro de los campos literarios de ambos paises.<br/><br/>Marco Nifantani (Italia. 1963) es Licenciado en Literatura por la Universidad de Milán y Doctor en Letras por la Universidad Nacional del Sur de Bahía Blanca. Ha desarrollado estudios de Maestria en la Universidad Nacional Autónoma de México donde ha sido becario del Centro Coordinador y Difusor de Estudios Latinoamericanos dirigido por el Dr. Leopoldo Zea. Ha sido corresponsal para Italia del diario mexicano Unomásuno y ha colaborado en las páginas culturales del diario L'Unità y de la revista Linea d'Ombra. Ha publicado artículos en distintas revistas académicas tanto italianas como latinoamericanas. En los últimos años se ha desempeñado cono Lector de Lengua y Literatura italiana en Universidades de América Latina. Ha publicado Formas de la imaginación, Editorial de la Universidad Nacional de San Agustín. Arequipa, Perú, 2005.";;51;2023-10-15;2023-10-16;Argentina;
Un Mundo Sin Rumbo;Crisis de Fin de Siglo;Ramonet, Ignacio;;Tapa blanda;;;Debate;;;1997;84-83-06064-7;;246;Albiña, Antonio;Castellano;Narrativa;"Histórica; Política";;;;;;;;;10c893ae2fd39d44ce3a8b95f4a08a91.jpeg;La caída de los regimenes autoritarios de la Europa del Este, la unificación alemana, la guerra del Golfo, la implosión de la URSS, la globalizacin de la economa, el renacimiento de China, la nueva hegemona de Estados Unidos y el doble fracaso del comunismo y del ultraliberalismo, trastornan los escenarios estratgicos y disean un nuevo paisaje planetario. Qu Estados, qu fuerzas, qu ideas emergen en este contexto? Cul es el sistema de pensamiento dominante? Qu oportunidades y qu riesgos se plantean al ciudadano? A partir de ahora, Estados Unidos debe tener en cuenta la rivalidad de los otros dos polos de prosperidad: Europa y Japn. Pero este trptico triunfante se ve desafiado a su vez por los pases emergentes y por el desencadenamiento de los odios tnicos, nacionalistas o religiosos, que estallan en este fin de siglo. Debe hacer frente tambin al desfondamiento del sur, en el que vive el 80 por 100 de la poblacin del globo. En este mundo interdependiente, la proteccin del medio ambiente condicionar en adelante la alta poltica. Slo pueden darse respuestas globales a cuestiones cruciales como la demografa, la tecnociencia, el efecto invernadero, el subdesarrolllo, la criminalidad internacional, el sistema de seguridad, etc.;;52;2023-10-15;2024-02-10;Argentina;
Cuentos Camperos;;Eichhorn, Enrique Francisco;;Tapa blanda;;;Offset Yusty;;1980;1980;;;;;Castellano;Narrativa;"Cuentos; Entre Ríos";;;;;;true;;;18b7f59d0eee7ad6a719c2e4bcaf618c.jpeg;;;53;2023-10-15;2023-10-15;Argentina;
